ecramid,visitdate,Fire/Control,Pre/Post_Fire,Group_ID,Pair_ID,indexscore,bufferlan,hydrology,physical,biotic_str,YEAR_,FIRE_NAME,ALARM_DATE,CONT_DATE,US_L4CODE,US_L4NAME,NearestFire,NEAR_FID,SITE_ID,PROX_ID,SHAPE_Length,SHAPE_Area,MountainRange,TimeInterval
7034,7/10/2019,fire,pre,1,1a,83,100,83.33000183,75,72.22000122,2020,BOBCAT,9/6/2020,10/19/2020,8e,Southern California Lower Montane Shrub and Woodland,0,195,99,481,0.004274476986,6.30E-07,LA,467
8192,6/29/2021,fire,post,1,1a,83,100,83.33000183,75,72.22000122,2020,BOBCAT,9/6/2020,10/19/2020,8e,Southern California Lower Montane Shrub and Woodland,0,195,99,481,0.004274476986,6.30E-07,LA,-253
7110,6/27/2019,control,pre,1,1b,79,86.41999817,83.33000183,75,69.44000244,,,,,8e,Southern California Lower Montane Shrub and Woodland,2.384094693,613,1250,1529,0.005122125216,9.30E-07,LA,528.7641931
8939,6/28/2022,control,post,1,1b,84,93.29000092,91.66999817,75,75,,,,,8e,Southern California Lower Montane Shrub and Woodland,4.468554359,3663,213,1073,0.003328109331,4.36E-07,LA,584.8249654
7798,8/12/2020,fire,pre,2,2a,81,93.29000092,83.33000183,75,72.22000122,2020,BOBCAT,9/6/2020,10/19/2020,8e,Southern California Lower Montane Shrub and Woodland,0,195,457,1009,0.002972282015,3.10E-07,LA,68
8960,7/7/2022,fire,post,2,2a,91,96.54000092,83.33000183,100,86.11000061,2020,BOBCAT,9/6/2020,10/19/2020,8e,Southern California Lower Montane Shrub and Woodland,0,195,457,1009,0.003603252413,3.46E-07,LA,-626
7802,8/7/2020,control,pre,2,2b,90,100,100,87.5,72.22000122,,,,,8e,Southern California Lower Montane Shrub and Woodland,1.746957061,3615,1746,679,0.003306897387,3.31E-07,LA,679.4259462
8388,7/22/2021,control,post,2,2b,92,100,91.66999817,100,77.77999878,,,,,8e,Southern California Lower Montane Shrub and Woodland,1.744815183,3615,1746,679,0.002998079453,3.33E-07,LA,680.2478926
5356,5/17/2016,fire,pre,3,3a,83,86.41999817,75,75,94.44000244,2016,TRABUCO,9/6/2016,9/7/2016,85f,Diegan Coastal Hills and Valleys,0.09981155605,1453,604,1553,0.00280504775,2.78E-07,SA,113
6056,6/22/2017,fire,post,3,3a,83,86.41999817,75,75,94.44000244,2016,TRABUCO,9/6/2016,9/7/2016,85f,Diegan Coastal Hills and Valleys,0.1062983272,1453,604,1553,0.002678567161,2.46E-07,SA,-288
5357,5/17/2016,control,pre,3,3b,71,93.29000092,75,50,66.66999817,,,,,85f,Diegan Coastal Hills and Valleys,0.5829135549,1817,653,825,0.002722404921,1.66E-07,SA,40.2288496
6054,6/20/2017,control,post,3,3b,79,93.29000092,75,75,72.22000122,,,,,85f,Diegan Coastal Hills and Valleys,2.661189,1813,1413,1553,0.00428414311,6.77E-07,SA,131.1878616
6165,7/21/2017,fire,pre,4,4a,73,82.91999817,91.66999817,62.5,55.56000137,2020,BOBCAT,9/6/2020,10/19/2020,8e,Southern California Lower Montane Shrub and Woodland,0.03445405994,195,756,481,0.00371912449,3.50E-07,LA,1186
8964,7/27/2022,fire,post,4,4a,77,90.29000092,66.66999817,75,77.77999878,2020,BOBCAT,9/6/2020,10/19/2020,8e,Southern California Lower Montane Shrub and Woodland,0.03471352836,195,756,481,0.003764987344,3.71E-07,LA,-646
6171,6/14/2017,control,pre,4,4b,74,86.41999817,66.66999817,75,66.66999817,,,,,8e,Southern California Lower Montane Shrub and Woodland,2.521520699,613,1250,1529,0.00562229878,1.19E-06,LA,535.8207984
8678,6/22/2022,control,post,4,4b,81,96.54000092,91.66999817,62.5,75,,,,,8e,Southern California Lower Montane Shrub and Woodland,4.787828934,1951,274,1073,0.003938849122,6.45E-07,LA,539.1714525
1871,8/11/2011,fire,pre,5,5a,73,92,75,63,61,2014,TECOLOTE,8/17/2014,9/14/2014,8e,Southern California Lower Montane Shrub and Woodland,0.008780957315,1205,1162,481,3.30E-03,3.94E-07,LA,1130
6910,6/4/2019,fire,post,5,5a,82,93.29000092,75,87.5,72.22000122,2014,TECOLOTE,8/17/2014,9/14/2014,8e,Southern California Lower Montane Shrub and Woodland,0,1205,1162,481,0.003220076709,2.35E-07,LA,-1724
1877,6/28/2011,control,pre,5,5b,81,83,100,75,64,2022,EAST,2022-08-25,2022-09-11,8e,Southern California Lower Montane Shrub and Woodland,0.03882424471,3615,297,679,0.002709352655,2.67E-07,LA,594.9558725
7260,7/30/2019,control,post,5,5b,75,93.29000092,100,50,58.33000183,2020,BOBCAT,2020-09-06,2020-10-19,8e,Southern California Lower Montane Shrub and Woodland,0,195,179,1404,0.002359918875,2.19E-07,LA,603.5756089
6166,7/21/2017,fire,pre,6,6a,80,93.29000092,91.66999817,62.5,72.22000122,2020,BOBCAT,9/6/2020,10/19/2020,8e,Southern California Lower Montane Shrub and Woodland,0,195,1485,481,0.004570521435,7.00E-07,LA,1186
8961,7/7/2022,fire,post,6,6a,89,100,83.33000183,100,72.22000122,2020,BOBCAT,9/6/2020,10/19/2020,8e,Southern California Lower Montane Shrub and Woodland,0,195,1485,481,0.00361621286,4.92E-07,LA,-626
9578,6/20/2023,control,post,6,6b,72,93.29000092,83.33000183,50,61.11000061,,,,,8e,Southern California Lower Montane Shrub and Woodland,2.295425617,3663,2.29E+02,113,0.003049462073,2.17E-07,LA,538.8416901
6192,5/24/2017,control,pre,6,6b,78,93.29000092,83.33000183,75,61.11000061,,,,,8e,Southern California Lower Montane Shrub and Woodland,2.277435369,3663,2.29E+02,113,0.00275464158,2.27E-07,LA,538.7654891
4288,6/4/2015,fire,pre,7,7a,81,100,58.33000183,75,88.88999939,2018,ROCK 5,7/28/2018,8/2/2018,85m,Santa Ana Mountains,0.2371898149,2378,1604,1337,0.006560270635,1.53E-06,SA,1155
8689,6/8/2022,fire,post,7,7a,81,92.04000092,66.66999817,75,88.88999939,2018,ROCK 5,7/28/2018,8/2/2018,85m,Santa Ana Mountains,0.2371898149,2378,1604,1337,0.006560270635,1.53E-06,SA,-1406
4289,6/3/2015,control,pre,7,7b,72,86.41999817,66.66999817,50,86.11000061,,,,,85m,Santa Ana Mountains,3.064789272,2378,707,1337,0.004109428171,3.27E-07,SA,176.8018542
9398,6/7/2023,control,post,7,7b,76,92.04000092,75,62.5,75,,,,,85m,Santa Ana Mountains,3.401499869,1113,864,1425,0.004396478256,5.23E-07,SA,174.4411423