ecramid,visitdate,Fire/Control,Pre/Post_Fire,Group_ID,Pair_ID,indexscore,bufferlan,hydrology,physical,biotic_str,YEAR_,FIRE_NAME,ALARM_DATE,CONT_DATE,US_L4CODE,US_L4NAME,NearestFire,NEAR_FID,SITE_ID,PROX_ID,SHAPE_Length,SHAPE_Area,CramSiteElevation,MountainRange,ClosestStationCod,StationDistance,WaterStationElevation
7034,2019-07-10,fire,pre,1,1a,83,100,83.33000183,75,72.22000122,2020,BOBCAT,2020-09-06,2020-10-19,8e,Southern California Lower Montane Shrub and Woodland,0,195,99,481,0.004274476986,6.30E-07,550.5114928,LA,405BRCASG,0.01735158037,520.6555144
8192,2021-06-29,fire,post,1,1a,83,100,83.33000183,75,72.22000122,2020,BOBCAT,2020-09-06,2020-10-19,8e,Southern California Lower Montane Shrub and Woodland,0,195,99,481,0.004274476986,6.30E-07,550.5114928,LA,405BRCASG,0.01735158037,520.6555144
7110,2019-06-27,control,pre,1,1b,79,86.41999817,83.33000183,75,69.44000244,,,,,8e,Southern California Lower Montane Shrub and Woodland,2.384094693,613,1250,1529,0.005122125216,9.30E-07,528.7641931,LA,481S05856,0.07654559921,845.8180353
8939,2022-06-28,control,post,1,1b,84,93.29000092,91.66999817,75,75,,,,,8e,Southern California Lower Montane Shrub and Woodland,4.468554359,3663,213,1073,0.003328109331,4.36E-07,584.8249654,LA,7-398,0.1859221476,364.8572307
7798,2020-08-12,fire,pre,2,2a,81,93.29000092,83.33000183,75,72.22000122,2020,BOBCAT,2020-09-06,2020-10-19,8e,Southern California Lower Montane Shrub and Woodland,0,195,457,1009,0.002972282015,3.10E-07,624.1502335,LA,405BRCAMS,0.0478270471,781.1934761
8960,2022-07-07,fire,post,2,2a,91,96.54000092,83.33000183,100,86.11000061,2020,BOBCAT,2020-09-06,2020-10-19,8e,Southern California Lower Montane Shrub and Woodland,0,195,457,1009,0.003603252413,3.46E-07,627.9172163,LA,405BRCAMS,0.04837961888,781.1934761
7802,2020-08-07,control,pre,2,2b,90,100,100,87.5,72.22000122,,,,,8e,Southern California Lower Montane Shrub and Woodland,1.746957061,3615,1746,679,0.003306897387,3.31E-07,679.4259462,LA,405SGRAAG,0.03125492503,747.9957561
8388,2021-07-22,control,post,2,2b,92,100,91.66999817,100,77.77999878,,,,,8e,Southern California Lower Montane Shrub and Woodland,1.744815183,3615,1746,679,0.002998079453,3.33E-07,680.2478926,LA,405SGRAAG,0.03147730415,747.9957561
5356,2016-05-17,fire,pre,3,3a,83,86.41999817,75,75,94.44000244,2016,TRABUCO,2016-09-06,2016-09-07,85f,Diegan Coastal Hills and Valleys,0.09981155605,1453,604,1553,0.00280504775,2.78E-07,76.98230007,SA,SMC00206,0.0009905746302,79.03963712
6056,2017-06-22,fire,post,3,3a,83,86.41999817,75,75,94.44000244,2016,TRABUCO,2016-09-06,2016-09-07,85f,Diegan Coastal Hills and Valleys,0.1062983272,1453,604,1553,0.002678567161,2.46E-07,77.06354447,SA,SMC00206,0.0009217788926,79.03963712
5357,2016-05-17,control,pre,3,3b,71,93.29000092,75,50,66.66999817,,,,,85f,Diegan Coastal Hills and Valleys,0.5829135549,1817,653,825,0.002722404921,1.66E-07,40.2288496,SA,J03-9221-1,0.004857050227,54.49798056
6054,2017-06-20,control,post,3,3b,79,93.29000092,75,75,72.22000122,,,,,85f,Diegan Coastal Hills and Valleys,2.661189,1813,1413,1553,0.00428414311,6.77E-07,131.1878616,SA,901M14138,0.001532766101,127.0255643
6165,2017-07-21,fire,pre,4,4a,73,82.91999817,91.66999817,62.5,55.56000137,2020,BOBCAT,2020-09-06,2020-10-19,8e,Southern California Lower Montane Shrub and Woodland,0.03445405994,195,756,481,0.00371912449,3.50E-07,487.554231,LA,405BRCASG,0.01658244094,520.6555144
8964,2022-07-27,fire,post,4,4a,77,90.29000092,66.66999817,75,77.77999878,2020,BOBCAT,2020-09-06,2020-10-19,8e,Southern California Lower Montane Shrub and Woodland,0.03471352836,195,756,481,0.003764987344,3.71E-07,489.4417446,LA,405BRCASG,0.01621905843,520.6555144
6171,2017-06-14,control,pre,4,4b,74,86.41999817,66.66999817,75,66.66999817,,,,,8e,Southern California Lower Montane Shrub and Woodland,2.521520699,613,1250,1529,0.00562229878,1.19E-06,535.8207984,LA,481S05856,0.07518471533,845.8180353
8678,2022-06-22,control,post,4,4b,81,96.54000092,91.66999817,62.5,75,,,,,8e,Southern California Lower Montane Shrub and Woodland,4.787828934,1951,274,1073,0.003938849122,6.45E-07,539.1714525,LA,7-397,0.1668515018,365.5309587
1871,2011-08-11,fire,pre,5,5a,73,92,75,63,61,2014,TECOLOTE,2014-08-17,2014-09-14,8e,Southern California Lower Montane Shrub and Woodland,0.008780957315,1205,1162,481,0.003304836576,3.94E-07,591.2278429,LA,405S03280,0,596.8553575
6910,2019-06-04,fire,post,5,5a,82,93.29000092,75,87.5,72.22000122,2014,TECOLOTE,2014-08-17,2014-09-14,8e,Southern California Lower Montane Shrub and Woodland,0,1205,1162,481,0.003220076709,2.35E-07,601.3721149,LA,405S03280,0,596.8553575
1877,2011-06-28,control,pre,5,5b,81,83,100,75,64,2022,EAST,2022-08-25,2022-09-11,8e,Southern California Lower Montane Shrub and Woodland,0.03882424471,3615,297,679,0.002709352655,2.67E-07,594.9558725,LA,405SGRAAG,0.04000185945,747.9957561
7260,2019-07-30,control,post,5,5b,75,93.29000092,100,50,58.33000183,2020,BOBCAT,2020-09-06,2020-10-19,8e,Southern California Lower Montane Shrub and Woodland,0,195,179,1404,0.002359918875,2.19E-07,603.5756089,LA,412S04204,0.0001780316977,597.9731237
6166,2017-07-21,fire,pre,6,6a,80,93.29000092,91.66999817,62.5,72.22000122,2020,BOBCAT,2020-09-06,2020-10-19,8e,Southern California Lower Montane Shrub and Woodland,0,195,1485,481,0.004570521435,7.00E-07,564.1954486,LA,405BRCASG,0.02308154327,520.6555144
8961,2022-07-07,fire,post,6,6a,89,100,83.33000183,100,72.22000122,2020,BOBCAT,2020-09-06,2020-10-19,8e,Southern California Lower Montane Shrub and Woodland,0,195,1485,481,0.00361621286,4.92E-07,564.8893156,LA,405BRCASG,0.0235897606,520.6555144
9578,2023-06-20,control,post,6,6b,72,93.29000092,83.33000183,50,61.11000061,,,,,8e,Southern California Lower Montane Shrub and Woodland,2.295425617,3663,229,113,0.003049462073,2.17E-07,538.8416901,LA,412S04204,0.1655873802,597.9731237
6192,2017-05-24,control,pre,6,6b,78,93.29000092,83.33000183,75,61.11000061,,,,,8e,Southern California Lower Montane Shrub and Woodland,2.277435369,3663,229,113,0.00275464158,2.27E-07,538.7654891,LA,412S04204,0.165831489,597.9731237
4288,2015-06-04,fire,pre,7,7a,81,100,58.33000183,75,88.88999939,2018,ROCK 5,2018-07-28,2018-08-02,85m,Santa Ana Mountains,0.2371898149,2378,1604,1337,0.006560270635,1.53E-06,119.2473597,SA,SC-SCD,0.004382922747,132.1315148
8689,2022-06-08,fire,post,7,7a,81,92.04000092,66.66999817,75,88.88999939,2018,ROCK 5,2018-07-28,2018-08-02,85m,Santa Ana Mountains,0.2371898149,2378,1604,1337,0.006560270635,1.53E-06,119.2473597,SA,SC-SCD,0.004382922747,132.1315148
4289,2015-06-03,control,pre,7,7b,72,86.41999817,66.66999817,50,86.11000061,,,,,85m,Santa Ana Mountains,3.064789272,2378,707,1337,0.004109428171,3.27E-07,176.8018542,SA,RBC-WGR,0.0001069898296,176.5026391
9398,2023-06-07,control,post,7,7b,76,92.04000092,75,62.5,75,,,,,85m,Santa Ana Mountains,3.401499869,1113,864,1425,0.004396478256,5.23E-07,174.4411423,SA,902WE0888,0.01067693029,146.190258